Student ID,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group 24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30,Group 31,Group 32,Group 33,Group 34,Group 35,Group 36,Group 37,Group 38,Group 39,Group 40,Group 41,Group 42,Group 43,Group 44,Group 45,Group 46,Group 47,Group 48,Group 49,Group 50,Group 51,Group 52,Group 53,Group 54,Group 55,Group 56,Group 57,Group 58,Group 59
1983 Nov,67.2,59.3,38.4,48.9,23.3,3.4,3.3,158.3,2.8,2.4,4,9.2,24.6,7.2,6.7,4,7,10.8,18.8,15.5,18.2,24.2,54.5,9.2,136.5,82.9,69.4,64.3,42,19.4,109.7,24.6,27,8.6,30,110.2,41,151.2,152.3,139.6,123.1,95.8,37.2,53.9,37.6,40.1,31.4,9.7,35.7,13.2,65.7,26,6.2,2.3,1.5,13.1,5.5,3.7,1.5
1983 Dec,78.4,70.2,44.3,64.8,29.9,4.8,4.9,202.9,3.5,2.4,4.4,13.5,34.7,8.9,9.6,5.7,11.4,15.7,22.4,25.2,23.9,26.4,62.6,12.9,189,89.6,86,75.7,48.3,24.8,164.7,28,37,11.6,44.6,155,59.9,214.8,175.5,209.4,219.4,111.7,42.8,63.3,51.1,50.4,40.1,14.2,54.3,15,87.7,40.1,9.7,2.8,1.9,18.2,7,5,2
1984 Jan,69.2,54.1,35.7,45.9,25.1,3.4,2.8,151.7,2.1,1.9,3.5,10.3,18.8,5.9,3.8,3.9,5.8,9.1,19.7,14.6,15.8,19,55.4,8.7,95.4,97.6,58.5,65.9,38.6,17.5,93,23.8,22.4,7.2,28.6,82.5,35.4,117.9,156.1,121.6,106.2,92.7,29,54.2,30.7,40.8,28.6,8.7,30.2,12.9,62.9,21.5,5.3,1.8,1.4,10.6,3.9,3.4,0.9
1984 Feb,68.2,72.3,36,48.4,23.2,3.5,2.9,171.8,2,2,3.5,10.7,18.8,6.6,3.8,3.9,5.9,9.3,20.1,15.4,15.8,20.4,49.7,9.3,105.8,90.3,60.3,68.1,39.7,17.7,89.3,21.6,22.2,7.2,27.4,83.6,33.6,117.2,150.6,116.7,97.3,94.4,27.6,54.8,27.2,38.9,28,8.5,30.2,13,63.4,21.7,5.4,2,1.5,11.4,5.2,3.3,1
1984 Mar,70.7,61,37.4,49.1,23.4,3.6,3.1,162.7,2.2,2.1,4.2,10.7,22.6,7.5,4.4,4,7.1,9.7,20.9,15.6,17.5,21.1,52.5,10.4,107.5,94.6,66.5,79.4,41.4,18.8,109.7,23.3,25.1,8.2,31,108.8,40.1,148.8,161.1,140.7,115.5,97.8,32,56.4,30.1,40.8,28.3,9.3,34.4,13.7,64.8,25.1,5.6,2.1,1.5,12.7,5.8,4.4,1.2
1984 Apr,67.4,53,36.7,49.5,21.4,3.3,2.9,149.6,2,1.8,3.5,9.8,22.5,6.8,3.8,3.7,7.5,9.4,16.2,15.3,17.7,17.7,51.7,8.4,90.4,88.9,68.7,61,39.9,17.5,107.6,22.2,20.2,7.8,30.8,99.9,39.4,139.2,157.6,138.4,115,92.9,28,53,32.7,38.9,26.2,9,31.5,13,57.7,22.6,5.2,2,1.5,12,6.2,4.4,1.1
1984 May,71,59.3,38.4,54.9,23.1,4,3.1,166.3,2.1,2.2,3.8,11.2,25.6,8.4,3.9,4.4,8.6,10.3,21,17.4,18.8,21.9,54.6,9.2,110,92.8,77.9,73.3,43.7,20.4,120.5,23.9,25.2,8.7,34.2,126.8,46.2,173,170.7,154.7,132.2,101,33.6,57.3,38.4,41.9,33.1,11,40.6,13.8,71.5,29.6,6.4,2.2,1.6,14.5,8,4.8,1.3
1984 Jun,67.9,54.8,35,48.7,22,3.5,2.8,152.7,2.1,2.2,3.8,10.1,22.1,7.7,4.1,3.9,7.6,8.8,18.8,16,16.9,21,52.8,9.2,102.6,87.3,68.3,61.8,40.7,18.5,103.9,22.8,25.4,8.2,29.5,99.4,38.6,138,155.5,133.4,116.3,92.1,32.6,51.4,34.1,38.8,30.4,9,31.6,13.2,65.1,22.7,6.1,2.2,1.6,13.1,6.7,4.2,1.2
1984 Jul,67.4,57.3,35.3,48.4,25.9,3.5,2.9,159.8,2.2,2.1,4.1,10.7,22.4,7.6,4.3,3.9,8.2,10.6,17.5,17.8,16.7,22.8,56.6,9.2,111,88.7,70.8,62.1,40.5,18.1,103.6,23,26,8.2,28.7,102.9,38.4,141.3,159.4,132.3,125.5,92.5,36.5,52,34.6,37.9,30.2,9.8,36.3,13.7,65.5,26.5,5.8,2.2,1.5,13.2,5.7,4.5,1.1
1984 Aug,70.7,58.7,36,51.1,27.5,3.7,3,166.9,2.3,2.3,3.9,11.6,22.6,8,4.8,4.2,7.8,11.1,19.4,18.4,18.3,22.5,60.6,9.2,105.2,90.3,73.2,66.3,43,19.3,98.9,25.8,24.4,8.4,28.4,105.5,40.2,145.7,163.6,127.3,117.6,94.4,38.5,51.4,36.3,40.6,31.2,10.2,37.1,14.5,69,26.9,5.7,2.4,1.7,12.5,5.2,4.2,1.2
